label,param,value,step,f1,logp,acc
warmup_pg=10,warmup_pg,10.0,2300,0.8659290127891939,-35.53137000831691,0.19078125
warmup_pg=10,warmup_pg,10.0,2400,0.8675391917158062,-34.866825438850135,0.199375
warmup_pg=10,warmup_pg,10.0,2500,0.8660624370594159,-34.556499973567405,0.19203125
warmup_pg=10,warmup_pg,10.0,2600,0.8659853174031956,-34.18361323541145,0.17765625
warmup_pg=10,warmup_pg,10.0,2700,0.8665226781857451,-33.919976079383176,0.179375
warmup_pg=10,warmup_pg,10.0,2800,0.8674247876781345,-33.89554554884723,0.1703125
warmup_pg=10,warmup_pg,10.0,2900,0.8685648547598505,-33.435006388835234,0.1825
warmup_pg=10,warmup_pg,10.0,3000,0.867902831680322,-33.34819069227424,0.165
warmup_pg=10,warmup_pg,10.0,3100,0.86795166858458,-33.39472117276476,0.20015625
warmup_pg=10,warmup_pg,10.0,3200,0.8684513529073115,-33.35149099724357,0.18859375
warmup_pg=10,warmup_pg,10.0,3300,0.8705139247774907,-33.395646442934506,0.16890625
warmup_pg=10,warmup_pg,10.0,3400,0.8696151636990236,-33.33204793393175,0.1884375
warmup_pg=10,warmup_pg,10.0,3500,0.8698275862068966,-33.265200464517044,0.19828125
warmup_pg=10,warmup_pg,10.0,3600,0.8682393555811277,-33.21575025514885,0.1953125
warmup_pg=10,warmup_pg,10.0,3700,0.8679407960913924,-33.01665313272374,0.17875
warmup_pg=10,warmup_pg,10.0,3800,0.8669256222126313,-33.041070978444935,0.183125
warmup_pg=10,warmup_pg,10.0,3900,0.8669639004746152,-33.02237124125714,0.1834375
warmup_pg=10,warmup_pg,10.0,4000,0.8672515460952107,-33.042322185000884,0.179375
warmup_pg=10,warmup_pg,10.0,4100,0.8678648454349389,-33.04652240608027,0.1590625
warmup_pg=10,warmup_pg,10.0,4200,0.8669540229885058,-33.05675858960144,0.17
warmup_pg=10,warmup_pg,10.0,4300,0.8671167935641431,-33.02852926057011,0.1646875
warmup_pg=10,warmup_pg,10.0,4400,0.8671650373778034,-33.02149508244885,0.18015625
