step,pseudo_logp,pseudo_k
5720,-234.05964733769306,48.0
5740,-233.88964462424275,61.0
5760,-242.4971200113273,64.0
5780,-226.67858112333505,52.0
5800,-223.97378334476093,57.0
5820,-232.24460872649126,38.0
5840,-232.78486890738736,45.0
5860,-235.93852499191624,38.0
5880,-244.04273219094247,33.0
5900,-248.9752925490773,43.0
5920,-250.24611569760543,34.0
5940,-242.64634051077803,32.0
5960,-236.1989218616592,45.0
5980,-237.29530524054366,50.0
6000,-243.61619235050216,43.0
6020,-247.0743484825232,37.0
6040,-232.73525976596505,64.0
6060,-246.46264469718204,56.0
6080,-229.2477177719438,46.0
6100,-234.51761175951532,31.0
6120,-230.01812175490474,23.0
6140,-240.03658587367755,42.0
6160,-236.19645721208275,36.0
6180,-243.0852589126399,42.0
6200,-242.50883701822346,59.0
6220,-244.431835637078,46.0
6240,-243.87218453952755,53.0
6260,-251.97919422947845,39.0
6280,-239.40100654242997,47.0
6300,-239.43178046059953,37.0
6320,-244.89786877413482,36.0
6340,-232.89887726572528,42.0
6360,-236.85436014593103,37.0
6380,-245.87231883230797,36.0
6400,-242.31402950971273,46.0
6420,-244.61871978184314,57.0
6440,-248.27848594432646,60.0
6460,-239.0081831248151,49.0
6480,-253.76423734880834,55.0
6500,-243.1923915476865,58.0
6520,-234.06267176617771,43.0
6540,-239.61689733637013,57.0
6560,-254.82957300583587,56.0
6580,-243.26457945347173,64.0
6600,-234.85920629137794,55.0
6620,-251.88637402819126,38.0
6640,-246.41580168768007,42.0
6660,-248.7749859220994,49.0
6680,-242.49414729888275,43.0
6700,-238.97360535044385,38.0
6720,-242.54870154744336,34.0
6740,-236.64404901138673,37.0
6760,-242.19095108003341,50.0
6780,-247.04747218299462,34.0
6800,-235.24879948090023,52.0
6820,-241.45362135265322,64.0
6840,-240.37472121321,39.0
6860,-247.9295365555029,45.0
6880,-247.13828073363848,48.0
6900,-236.01430712629255,31.0
6920,-239.175578213326,28.0
6940,-236.85415511507077,35.0
6960,-239.3803079026826,32.0
6980,-229.81624445591092,28.0
7000,-229.46911985508586,25.0
7020,-231.38172991559117,41.0
7040,-247.67625370714893,33.0
7060,-241.53851916651416,38.0
7080,-245.2165610272907,48.0
7100,-244.78580866574197,55.0
7120,-225.75633847741037,69.0
7140,-239.3483138811245,72.0
7160,-241.0579404239126,68.0
7180,-233.40316628548257,46.0
7200,-242.63854049627918,66.0
7220,-245.12760964658315,61.0
7240,-241.3826913981007,64.0
7260,-248.12005338284698,50.0
7280,-247.28022929224534,43.0
7300,-233.79240366291177,56.0
7320,-230.09385669331982,58.0
7340,-242.3371056710783,38.0
7360,-237.11427051756715,48.0
7380,-234.9986584648076,35.0
7400,-238.12384320605526,42.0
7420,-237.4395017921998,48.0
7440,-227.46616125322876,50.0
7460,-221.40760926362563,54.0
7480,-236.45648307747058,60.0
7500,-237.1338125878898,48.0
7520,-239.93619179366272,43.0
7540,-239.32608517219163,32.0
7560,-249.03294822868628,24.0
7580,-251.94752321235723,40.0
7600,-252.40474345356677,57.0
7620,-258.0923057356853,59.0
7640,-241.68472778666217,63.0
7660,-238.14440104774673,54.0
7680,-241.1446248835491,42.0
7700,-245.56595814715487,39.0
7720,-235.66034870746887,45.0
7740,-237.41749932923284,32.0
7760,-233.15321224682708,49.0
7780,-236.889221831339,55.0
7800,-236.2424051478246,52.0
7820,-236.74337947059496,34.0
7840,-235.15895875284622,48.0
7860,-225.6780562170677,70.0
7880,-242.6788880089443,59.0
7900,-233.31528132494117,58.0
7920,-238.47306921691558,56.0
7940,-239.82100124465765,36.0
7960,-235.65472155267344,34.0
7980,-242.3856762776988,28.0
8000,-240.09857797068707,32.0
8020,-242.01525110464212,37.0
8040,-237.4473116806397,34.0
8060,-245.41103153153603,44.0
8080,-238.8918339409361,37.0
8100,-222.854834963334,44.0
8120,-239.76899073209097,52.0
8140,-231.07702752267616,53.0
8160,-218.07125653507575,52.0
8180,-218.66902054515631,55.0
8200,-226.2647793416855,51.0
8220,-247.23755825400616,60.0
8240,-239.95380355117163,57.0
8260,-229.32092145613365,57.0
8280,-220.7943474720475,48.0
8300,-237.33842073426445,69.0
8320,-235.18579689844137,64.0
8340,-238.19095462698192,59.0
8360,-246.1766859062744,53.0
8380,-248.1227562904533,32.0
8400,-227.14145464553332,32.0
8420,-230.36829365418038,22.0
8440,-236.47460834462942,39.0
8460,-238.90870169512488,54.0
8480,-243.3229575079446,56.0
8500,-235.7308074319364,64.0
8520,-240.3551376357376,56.0
8540,-229.6879698692787,61.0
8560,-231.34431793053375,52.0
8580,-226.66781798551355,28.0
8600,-234.7504968672777,47.0
8620,-236.38168485627318,45.0
8640,-230.08833120142114,46.0
8660,-230.0242527644076,54.0
8680,-235.27055759647354,54.0
8700,-237.79083929038634,53.0
8720,-234.57142355404017,51.0
8740,-229.37502554653094,46.0
8760,-237.35851798326576,55.0
8780,-230.29280149776548,47.0
8800,-229.98901787300164,57.0
8820,-230.48477412552327,37.0
8840,-228.3343244665794,47.0
8860,-220.7758250055615,54.0
8880,-229.7046958419018,50.0
8900,-242.53393192217578,51.0
8920,-246.7788482000674,53.0
8940,-242.39468428911948,56.0
8960,-234.22406971343094,57.0
8980,-232.40669210742084,53.0
9000,-238.88579313731813,57.0
9020,-235.85122787661578,30.0
9040,-229.39138758618634,34.0
9060,-222.06463878839878,41.0
9080,-213.75235888951238,38.0
9100,-225.7861900028779,24.0
9120,-228.66508849052192,62.0
9140,-230.76368183009146,45.0
9160,-232.42847914974152,49.0
9180,-226.9444891701254,52.0
9200,-225.0185579455391,51.0
9220,-234.74900319651945,40.0
9240,-241.34625950867837,45.0
9260,-242.41829112994327,34.0
9280,-235.9873233318021,31.0
9300,-225.16839089903482,26.0
9320,-238.67306532267378,35.0
9340,-223.69508112472283,37.0
9360,-223.96488737128124,34.0
9380,-241.75169030978975,55.0
9400,-244.43840280426187,56.0
9420,-247.42130924316172,54.0
9440,-244.801646669641,51.0
9460,-223.8394959510644,57.0
9480,-227.79114415474925,63.0
9500,-230.23632929849134,51.0
9520,-237.54276459368708,61.0
9540,-230.03786110925202,56.0
9560,-236.14754059771192,45.0
9580,-233.2995490271124,28.0
9600,-231.76523349825908,29.0
9620,-225.6892326611927,29.0
9640,-221.01304424963473,45.0
9660,-231.60089676513678,37.0
9680,-226.0777677403097,80.0
9700,-232.6085153292317,67.0
9720,-227.83796111909612,47.0
9740,-231.85795112708342,57.0
9760,-228.18425257391738,40.0
9780,-233.71555344183895,35.0
9800,-237.5141541801391,59.0
9820,-231.04124426404053,57.0
9840,-236.81428239626916,55.0
9860,-232.18257947066502,53.0
9880,-233.8213867911044,40.0
9900,-224.82283351654587,41.0
9920,-229.6881486515696,39.0
9940,-238.5433533926879,34.0
9960,-238.73309964656988,53.0
9980,-244.5310782562986,59.0
10000,-234.20844813467033,58.0
10020,-245.2869725505923,43.0
10040,-244.21393806558535,36.0
10060,-238.81211740616135,48.0
10080,-246.32208907578337,53.0
10100,-233.04866620964518,44.0
10120,-236.75956733603482,48.0
10140,-231.97816488215855,49.0
10160,-228.72902684800798,55.0
10180,-231.2396618735149,54.0
10200,-219.4958667324188,58.0
10220,-220.09587153884746,56.0
10240,-227.36996978948957,51.0
10260,-223.2247321680618,32.0
10280,-219.33242521223525,37.0
10300,-224.2314815836374,35.0
10320,-228.68703678317902,36.0
10340,-232.40247882125985,30.0
10360,-227.73511761691236,28.0
10380,-221.96654356421507,35.0
10400,-245.9661520735586,40.0
10420,-245.7333720595149,43.0
10440,-240.34414584037435,46.0
10460,-234.99635065070058,58.0
10480,-229.16384110156346,40.0
10500,-224.7264046676719,65.0
10520,-226.54584021408448,61.0
10540,-226.30166432867873,27.0
10560,-231.31175377098663,34.0
10580,-224.61789909756237,32.0
10600,-233.89948250115253,33.0
10620,-227.29424970079373,35.0
10640,-238.52596327595742,37.0
10660,-231.26967847629464,36.0
10680,-233.3180584493564,44.0
10700,-228.49868121698051,58.0
10720,-227.12971425515923,46.0
10740,-236.4739630132432,31.0
10760,-240.17001408275988,32.0
10780,-231.68050485265707,28.0
10800,-227.1416731874668,27.0
10820,-232.06282372605685,44.0
10840,-228.1667457491834,54.0
10860,-219.13521152678183,53.0
10880,-229.24795126987192,53.0
10900,-231.34770995702468,51.0
10920,-236.44496929888743,54.0
10940,-230.72083767983548,53.0
10960,-231.22519106722524,52.0
10980,-229.0572768755185,50.0
11000,-236.7104558903984,48.0
11020,-244.4251757133394,61.0
11040,-241.73878098585595,51.0
11060,-240.13437415570095,53.0
11080,-238.69581027923385,50.0
11100,-242.9321311864291,42.0
11120,-241.8827978795461,35.0
11140,-235.42368712969582,50.0
11160,-233.5228168158397,33.0
11180,-219.39138861060044,37.0
11200,-236.4178720980498,21.0
11220,-240.02223603575084,33.0
11240,-226.08251609155042,53.0
11260,-234.30741978672881,56.0
11280,-243.12569450403882,60.0
11300,-249.4167047145852,52.0
11320,-249.22204924779055,45.0
11340,-232.33514853449114,56.0
11360,-237.39829715730949,47.0
11380,-243.74481100570034,57.0
11400,-238.5653257021072,43.0
11420,-239.8893000955502,50.0
11440,-224.60460825820277,59.0
11460,-217.93707939864092,31.0
11480,-213.7420199163314,31.0
11500,-229.92201538834075,46.0
11520,-226.86577947337878,54.0
11540,-228.91628592439963,56.0
11560,-225.42815813882663,38.0
11580,-236.94530693226085,41.0
11600,-246.31825012006544,51.0
11620,-245.6464181182483,46.0
11640,-247.85421220989653,56.0
11660,-252.38831442138013,53.0
11680,-230.09919058116284,55.0
11700,-220.12228398959334,49.0
