step,mwg_logp,mwg_k,mwg_acc
3580,-198.86910839525987,39.0,0.125
3600,-202.6865292657967,41.0,0.15625
3620,-201.91026672524816,40.0,0.125
3640,-201.6312186954862,34.0,0.109375
3660,-203.0646991310955,34.0,0.109375
3680,-199.336255907561,35.0,0.09375
3700,-188.33811644904165,37.0,0.078125
3720,-190.55014747174306,38.0,0.171875
3740,-188.30259406364837,34.0,0.078125
3760,-197.093368861657,40.0,0.09375
3780,-197.91875533707992,38.0,0.09375
3800,-199.1157360907875,39.0,0.09375
3820,-195.92746338101335,37.0,0.125
3840,-195.97421491858603,38.0,0.21875
3860,-195.62056828574617,36.0,0.09375
3880,-200.06310599013239,39.0,0.171875
3900,-197.38410636087298,35.0,0.109375
3920,-194.25668000167917,37.0,0.15625
3940,-199.6071064291114,38.0,0.109375
3960,-198.5851364072344,36.0,0.109375
3980,-193.29023264427713,36.0,0.15625
4000,-196.7998311884529,37.0,0.078125
4020,-201.13615977141086,38.0,0.078125
4040,-205.6930877554765,37.0,0.078125
4060,-202.61012205122017,37.0,0.09375
4080,-201.49946546969022,36.0,0.0625
4100,-206.72558430326208,40.0,0.140625
4120,-210.02071742645938,37.0,0.0625
4140,-209.27505459560743,36.0,0.125
4160,-211.046203032678,40.0,0.203125
4180,-205.1723781925245,35.0,0.109375
4200,-208.03010892608324,40.0,0.140625
4220,-205.63834428770988,37.0,0.046875
4240,-199.9385978274251,45.0,0.125
4260,-197.63916214110066,39.0,0.078125
4280,-201.36867571233006,42.0,0.125
4300,-203.31454998275328,38.0,0.09375
4320,-205.38797789484664,37.0,0.09375
4340,-209.17032601436046,30.0,0.109375
4360,-204.83772151099168,29.0,0.125
4380,-204.59047649279597,29.0,0.109375
4400,-199.69937908360066,23.0,0.15625
4420,-209.07319266536655,26.0,0.125
4440,-204.50038337207053,27.0,0.140625
4460,-205.56310023612957,33.0,0.15625
4480,-200.73495302065373,30.0,0.15625
4500,-203.81688679861577,28.0,0.09375
4520,-207.38257231338773,29.0,0.09375
4540,-204.83100346387266,36.0,0.09375
4560,-202.53713911178892,36.0,0.09375
4580,-198.40048257301677,42.0,0.09375
4600,-202.49858364847444,39.0,0.109375
4620,-203.3563610628059,43.0,0.09375
4640,-198.30174326169117,42.0,0.140625
4660,-204.34729298320212,41.0,0.15625
4680,-196.8274741112582,39.0,0.09375
4700,-190.42662913867403,38.0,0.140625
4720,-188.2497602788975,43.0,0.140625
4740,-186.9976448937735,38.0,0.09375
4760,-186.96772021890922,28.0,0.125
4780,-186.61835386623892,27.0,0.0625
4800,-186.6533289052934,31.0,0.109375
4820,-184.59123084557973,33.0,0.109375
4840,-192.29768021119204,30.0,0.125
4860,-191.0035924516738,38.0,0.09375
4880,-197.51424321044786,36.0,0.15625
4900,-195.69278016077106,34.0,0.140625
4920,-193.6354962747659,36.0,0.109375
4940,-196.38013725514776,36.0,0.109375
4960,-198.11482125467614,38.0,0.09375
4980,-193.32713035689625,39.0,0.09375
5000,-195.6589192724096,36.0,0.046875
5020,-203.00041670755368,39.0,0.09375
