mask,rep,alpha,rw_sigma,f1_mean,logp_mc,acc
random50,4,0.25,0.1,0.8804604486422668,-29.162976029103017,0.2801113315671682
top,0,0.25,0.15,0.6631326949384405,-60.39996352115097,0.15189617594704033
bottom,0,0.25,0.15,0.6600029837386245,-69.44222260349754,0.1786121439933777
center,0,0.25,0.15,0.7378668171557562,-48.664336800510824,0.15982487466186285
random50,0,0.25,0.15,0.8741818181818182,-30.664590715676304,0.15169560510665178
random50,1,0.25,0.15,0.8771775728297467,-30.541872753230265,0.1550474641099572
random50,2,0.25,0.15,0.876838765503317,-30.38614232270552,0.15528601489961147
random50,3,0.25,0.15,0.8719467061435974,-29.312886227847628,0.1571963968127966
random50,4,0.25,0.15,0.8778693349028841,-29.60177425234329,0.15888966985046862
top,0,0.25,0.25,0.6597162878140489,-64.70807235930505,0.04830273681087419
bottom,0,0.25,0.25,0.6438907951663434,-81.25216560618546,0.04987511293962598
center,0,0.25,0.25,0.7374364765669114,-57.87507560027956,0.04374939255882054
random50,0,0.25,0.25,0.8709582598471487,-30.409732063653166,0.051983616019133476
random50,1,0.25,0.25,0.8804254096004599,-29.923926551233514,0.041381805180571975
random50,2,0.25,0.25,0.8825424721734036,-29.34684237448249,0.039072992299916225
random50,3,0.25,0.25,0.8717799446950953,-30.664130734433826,0.04181956606800668
random50,4,0.25,0.25,0.8743996507058652,-29.883504770697318,0.04687557766446844
top,0,0.25,0.5,0.5827374022950275,-122.53533676382798,0.009795222634446646
bottom,0,0.25,0.5,0.5977661950856292,-137.21842747812346,0.004497463489375182
center,0,0.25,0.5,0.6910299003322259,-85.2704962822263,0.014762106187896506
random50,0,0.25,0.5,0.868474773986585,-35.094404415077236,0.014463993141343962
random50,1,0.25,0.5,0.8555930215510922,-34.885258944009436,0.019108706142064877
random50,2,0.25,0.5,0.8653506187389511,-33.381632275635205,0.016344549500051927
random50,3,0.25,0.5,0.8550185873605948,-34.60083528309953,0.01717312807770959
random50,4,0.25,0.5,0.870018837849587,-34.18703841653372,0.014385641353919709
top,0,0.5,0.05,0.61501460230201,-73.3072272686075,
bottom,0,0.5,0.05,0.6375189107413011,-81.16460317772481,
center,0,0.5,0.05,0.7201989176539418,-57.27873556897785,
random50,0,0.5,0.05,0.8753503466587992,-31.095453132896566,
random50,1,0.5,0.05,0.8762463343108504,-30.393182659409057,
random50,2,0.5,0.05,0.8748009842234766,-30.78591725182004,
random50,3,0.5,0.05,0.8754584127915506,-29.499473132809747,
random50,4,0.5,0.05,0.8793613246599645,-29.567542033871252,
top,0,0.5,0.1,0.6605535744608593,-61.721667418008835,0.2039835849031806
bottom,0,0.5,0.1,0.6560547456114252,-73.20597469212369,0.21075403943657875
center,0,0.5,0.1,0.7308829742289819,-51.84702522756008,0.19797386027872563
random50,0,0.5,0.1,0.8783841856467555,-29.784411052491485,0.2237556029856205
random50,1,0.5,0.1,0.8814633443756301,-29.228111712055902,0.21266829811036586
random50,2,0.5,0.1,0.8714888662494542,-30.819838486989276,0.2168160679936409
random50,3,0.5,0.1,0.8694779116465864,-30.35559628968804,0.21013003807514907
